measure,location,sex,age,metric,year,val,upper,lower
Population,Canada,Female,5-14 years,Number,2021,2076930.1096161897,2226541.7795922305,1942877.2949300266
Population,Canada,Both,5-14 years,Number,2021,4271722.6779424045,4579436.240648467,3996009.7659452283
Population,Canada,Male,15-49 years,Number,1990,7388723.21560216,7974142.335081046,6830160.469402492
Population,Canada,Female,15-49 years,Number,1990,7356136.754131101,7938974.001610637,6800037.43535686
Population,Canada,Both,15-49 years,Number,1990,14744859.96973326,15913116.336691681,13630197.904759351
Population,Canada,Male,15-49 years,Number,1991,7481169.988082852,7969056.3742383355,6966869.776671524
Population,Canada,Female,15-49 years,Number,1991,7454810.1571790185,7940977.48031898,6942322.077643882
Population,Canada,Both,15-49 years,Number,1991,14935980.14526187,15910033.854557317,13909191.854315406
Population,Canada,Male,15-49 years,Number,1992,7561536.755961482,8099992.291998583,7015898.35583007
Population,Canada,Female,15-49 years,Number,1992,7545300.020986643,8082599.342339277,7000833.259158521
Population,Canada,Both,15-49 years,Number,1992,15106836.776948126,16182591.63433786,14016731.614988588
Population,Canada,Male,15-49 years,Number,1993,7625087.376813166,8266174.730957217,6979086.814493582
Population,Canada,Female,15-49 years,Number,1993,7621428.853276323,8262208.613151823,6975738.242586834
Population,Canada,Both,15-49 years,Number,1993,15246516.23008949,16528383.34410904,13954825.057080416
Population,Canada,Male,15-49 years,Number,1994,7681275.456079205,8279234.904648959,7074924.11151077
Population,Canada,Female,15-49 years,Number,1994,7692027.609659048,8290824.07440695,7084827.5020411145
Population,Canada,Both,15-49 years,Number,1994,15373303.065738253,16570058.979055908,14159751.613551887
Population,Canada,Male,15-49 years,Number,1995,7733582.847671911,8273215.023442121,7135152.27544248
Population,Canada,Female,15-49 years,Number,1995,7759668.368019735,8301120.733264689,7159219.278218809
Population,Canada,Both,15-49 years,Number,1995,15493251.215691647,16574335.756706811,14294371.553661289
Population,Canada,Male,15-49 years,Number,1996,7776169.8104637535,8267615.786450183,7290085.069527818
Population,Canada,Female,15-49 years,Number,1996,7816929.040692544,8310950.958327429,7328296.459322381
Population,Canada,Both,15-49 years,Number,1996,15593098.851156296,16578566.74477761,14618381.5288502
Population,Canada,Male,15-49 years,Number,1997,7785919.350243591,8390808.847637322,7214156.735803693
Population,Canada,Female,15-49 years,Number,1997,7839369.744981519,8448411.813311849,7263681.9759049695
Population,Canada,Both,15-49 years,Number,1997,15625289.09522511,16839220.66094917,14477838.711708663
Population,Canada,Male,15-49 years,Number,1998,7796179.304549204,8419910.33905357,7189365.874125756
Population,Canada,Female,15-49 years,Number,1998,7861089.294881531,8490013.434089893,7249223.613558809
Population,Canada,Both,15-49 years,Number,1998,15657268.599430736,16909923.773143463,14438589.487684567
Population,Canada,Male,15-49 years,Number,1999,7810147.024080338,8449108.672192372,7208089.830188617
Population,Canada,Female,15-49 years,Number,1999,7884306.739197077,8529335.521979997,7276532.829621857
Population,Canada,Both,15-49 years,Number,1999,15694453.763277415,16978444.19417237,14484622.659810474
Population,Canada,Male,15-49 years,Number,2000,7824654.126937374,8366307.3997915285,7265008.569243762
Population,Canada,Female,15-49 years,Number,2000,7907173.718546115,8454539.321446344,7341626.082355827
Population,Canada,Both,15-49 years,Number,2000,15731827.845483487,16820846.721237876,14606634.65159959
Population,Canada,Male,15-49 years,Number,2001,7839540.774014929,8344997.8893377585,7316874.84288796
Population,Canada,Female,15-49 years,Number,2001,7929253.833079268,8440495.229056872,7400606.689416798
Population,Canada,Both,15-49 years,Number,2001,15768794.607094198,16785493.118394636,14717481.532304758
Population,Canada,Male,15-49 years,Number,2002,7854598.95319633,8424089.648303196,7259377.416213494
Population,Canada,Female,15-49 years,Number,2002,7952456.65455213,8529042.435060395,7349819.460607851
Population,Canada,Both,15-49 years,Number,2002,15807055.60774846,16953132.08336359,14609196.876821345
Population,Canada,Male,15-49 years,Number,2003,7868738.086645085,8488970.560093597,7234743.696648288
Population,Canada,Female,15-49 years,Number,2003,7972523.41695484,8600936.494639622,7330166.908857806
Population,Canada,Both,15-49 years,Number,2003,15841261.503599925,17089907.054733217,14564910.605506092
Population,Canada,Male,15-49 years,Number,2004,7885588.51168227,8533009.329583371,7253138.273308109
Population,Canada,Female,15-49 years,Number,2004,7992943.953815629,8649178.844128592,7351883.454473955
Population,Canada,Both,15-49 years,Number,2004,15878532.465497898,17182188.173711963,14605021.727782061
Population,Canada,Male,15-49 years,Number,2005,7906646.4388411855,8507166.990060434,7315949.258191049
Population,Canada,Female,15-49 years,Number,2005,8016995.135947479,8625896.82080223,7418053.921018928
Population,Canada,Both,15-49 years,Number,2005,15923641.574788664,17133063.810862664,14734003.179209976
Population,Canada,Male,15-49 years,Number,2006,7934094.880477308,8466417.878435073,7403759.210636909
